"permit_number","streetname","Cross Street 1","Cross Street 2","Permit Type","Agent","AgentPhone","Permit Purpose","Approved Date","Status","cnn","permit_zipcode","permit_start_date","permit_end_date","permit_address","24/7 Contact","Inspector","CurbRampWork","X","Y","Latitude","Longitude","bpa","Location","the_geom","analysis_neighborhood","supervisor_district","data_as_of","data_loaded_at"
"25SSP-00041","MALOSI ST","HARMONIA ST","SUNRISE WAY","StreetSpace","Mercy Housing California","415-805-9445",,"09/09/2025","APPROVED","15270000","94134","09/15/2025","03/15/2026","1501 SUNNYDALE AVE","510-658-9960","Eric Walker",,"6007165.35716","2087428.94488","37.71208770534","-122.41705804398",,"POINT (-122.4170580439839 37.71208770533788)","POINT (-122.417058044 37.712087705)","Visitacion Valley","10","2025/09/10 05:11:34 AM","2025/09/12 05:08:57 AM"
"25EXC-04230","YALE ST","START: 400-499 BLOCK","WAYLAND ST","Excavation","CableCom","650-520-7091","1303 Bacon St.","09/24/2025","ACTIVE","13743000","94134","10/01/2025","10/29/2025","1303 BACON ST","3604543025","Don Doan",,"6007687.94765","2091897.30077","37.72438625282","-122.41556797767",,"POINT (-122.41556797767348 37.72438625281633)","POINT (-122.415567978 37.724386253)","Portola","9","2025/10/07 04:16:54 AM","2025/10/08 05:18:10 AM"
"25EXC-04273","MONTGOMERY ST","BUSH ST","PINE ST","Excavation","Pacific Gas & Electric","5102920681","47104254 - HY4 - 223 MONTGOMERY ST","08/27/2025","APPROVED","9299000","94104","10/01/2025","11/27/2025",,"800-pge-5000","Alastair Johns",,"6011969.89978","2116228.37174","37.79143376129","-122.40247586554",,"POINT (-122.40247586553548 37.79143376128924)","POINT (-122.402475866 37.791433761)","Financial District/South Beach","3","2025/08/28 03:42:52 AM","2025/08/29 05:13:53 AM"
"25EXC-01889","BLANKEN AVE","NUEVA AVE","GILLETTE AVE","Excavation","Cratus, Inc.","(415)939-2840","WD-2876    8-Inch Ductile Iron Water Main Replacement and 16-Inch Ductile Iron  Water Main Installation on San Bruno Ave. from Campbell Ave. to Paul Ave. and on Blanken Ave. from Bayshore Blvd. to Executive Park Blvd.","07/18/2025","ACTIVE","2991000","94134","07/21/2025","02/28/2027",,"(800) 850-1874","Don Doan",,"6012984.2434","2086949.46112","37.71109675879","-122.39691255444",,"POINT (-122.39691255443782 37.711096758785345)","POINT (-122.396912554 37.711096759)","Bayview Hunters Point","10","2025/09/10 05:11:34 AM","2025/09/12 05:08:57 AM"
"25EXC-01889","BLANKEN AVE","PENINSULA AVE","TOCOLOMA AVE","Excavation","Cratus, Inc.","(415)939-2840","WD-2876    8-Inch Ductile Iron Water Main Replacement and 16-Inch Ductile Iron  Water Main Installation on San Bruno Ave. from Campbell Ave. to Paul Ave. and on Blanken Ave. from Bayshore Blvd. to Executive Park Blvd.","07/18/2025","ACTIVE","2989000","94134","07/21/2025","02/28/2027",,"(800) 850-1874","Don Doan",,"6012489.27937","2087108.75367","37.71150658083","-122.39863445284",,"POINT (-122.39863445284317 37.71150658083282)","POINT (-122.398634453 37.711506581)","Bayview Hunters Point","10","2025/09/10 05:11:34 AM","2025/09/12 05:08:57 AM"
"25EXC-01889","SAN BRUNO AVE","DWIGHT ST","PAUL AVE","Excavation","Cratus, Inc.","(415)939-2840","WD-2876    8-Inch Ductile Iron Water Main Replacement and 16-Inch Ductile Iron  Water Main Installation on San Bruno Ave. from Campbell Ave. to Paul Ave. and on Blanken Ave. from Bayshore Blvd. to Executive Park Blvd.","07/18/2025","ACTIVE","11381000","94134","07/21/2025","02/28/2027",,"(800) 850-1874","Don Doan",,"6011583.73114","2091669.06913","37.72397779038","-122.40208467925",,"POINT (-122.40208467924744 37.7239777903775)","POINT (-122.402084679 37.72397779)","Portola","9","2025/09/10 05:11:34 AM","2025/09/12 05:08:57 AM"
"25EXC-01889","BLANKEN AVE","BAY SHORE BLVD","TUNNEL AVE","Excavation","Cratus, Inc.","(415)939-2840","WD-2876    8-Inch Ductile Iron Water Main Replacement and 16-Inch Ductile Iron  Water Main Installation on San Bruno Ave. from Campbell Ave. to Paul Ave. and on Blanken Ave. from Bayshore Blvd. to Executive Park Blvd.","07/18/2025","ACTIVE","2986000","94134","07/21/2025","02/28/2027",,"(800) 850-1874","Don Doan",,"6011707.98734","2087352.96474","37.71213357591","-122.40135197014",,"POINT (-122.40135197014077 37.712133575911565)","POINT (-122.40135197 37.712133576)","Bayview Hunters Point","10","2025/09/10 05:11:34 AM","2025/09/12 05:08:57 AM"
"24WR-00016","REGENT ST","CAYUGA AVE","ALEMANY BLVD \ I-280 N ON RAMP \ SAN JOSE AVE","Wireless","ExteNet Systems (California) LLC","415-377-7826",,"05/16/2024","APPROVED","10960000","94112","05/16/2024","02/28/2035","80 REGENT ST","916-801-4924","Jeffrey Ramirez",,"5995700.09728","2086872.22355","37.709907441","-122.45664481769",,"POINT (-122.45664481768651 37.70990744099582)","POINT (-122.456644818 37.709907441)","Outer Mission","11","2025/08/28 03:42:52 AM","2025/08/29 05:13:53 AM"
"25EXC-01889","BLANKEN AVE","NUEVA AVE",,"Excavation","Cratus, Inc.","(415)939-2840","WD-2876    8-Inch Ductile Iron Water Main Replacement and 16-Inch Ductile Iron  Water Main Installation on San Bruno Ave. from Campbell Ave. to Paul Ave. and on Blanken Ave. from Bayshore Blvd. to Executive Park Blvd.","07/18/2025","ACTIVE","20271000","0","07/21/2025","02/28/2027",,"(800) 850-1874","Don Doan","true","6012860.30353","2086989.3483","37.71119938149","-122.39734371914",,"POINT (-122.39734371914106 37.71119938148932)","POINT (-122.397343719 37.711199381)","Bayview Hunters Point","10","2025/09/10 05:11:34 AM","2025/09/12 05:08:57 AM"
"25EXC-01889","HARKNESS AVE","SAN BRUNO AVE",,"Excavation","Cratus, Inc.","(415)939-2840","WD-2876    8-Inch Ductile Iron Water Main Replacement and 16-Inch Ductile Iron  Water Main Installation on San Bruno Ave. from Campbell Ave. to Paul Ave. and on Blanken Ave. from Bayshore Blvd. to Executive Park Blvd.","07/18/2025","ACTIVE","20556000","0","07/21/2025","02/28/2027",,"(800) 850-1874","Don Doan",,"6012103.63671","2089447.31023","37.71790629611","-122.40013147564",,"POINT (-122.4001314756427 37.717906296114045)","POINT (-122.400131476 37.717906296)","Visitacion Valley","10","2025/09/10 05:11:34 AM","2025/09/12 05:08:57 AM"
"25EXC-04135","08TH ST","GROVE ST \ HYDE ST \ MARKET ST",,"Excavation","Pacific Gas & Electric","5102920681","8th St and Market St- SAWA - 47161659","08/27/2025","ACTIVE","24429000","0","09/18/2025","11/16/2025",,"800-pge-5000","Alastair Johns",,"6008331.757","2111672.045","37.77871941508","-122.41474121982",,"POINT (-122.41474121981909 37.778719415076054)","POINT (-122.41474122 37.778719415)","Tenderloin","6","2025/09/23 04:15:15 AM","2025/09/24 05:18:14 AM"
"25EXC-01889","BLANKEN AVE","EXECUTIVE PARK BLVD",,"Excavation","Cratus, Inc.","(415)939-2840","WD-2876    8-Inch Ductile Iron Water Main Replacement and 16-Inch Ductile Iron  Water Main Installation on San Bruno Ave. from Campbell Ave. to Paul Ave. and on Blanken Ave. from Bayshore Blvd. to Executive Park Blvd.","07/18/2025","ACTIVE","20263000","0","07/21/2025","02/28/2027",,"(800) 850-1874","Don Doan","true","6013587.855082","2086911.101397","37.71102501109","-122.39482362555",,"POINT (-122.39482362555422 37.71102501108646)","POINT (-122.394823626 37.711025011)","Bayview Hunters Point","10","2025/09/10 05:11:34 AM","2025/09/12 05:08:57 AM"
"25EXC-01889","CAMPBELL AVE","SAN BRUNO AVE",,"Excavation","Cratus, Inc.","(415)939-2840","WD-2876    8-Inch Ductile Iron Water Main Replacement and 16-Inch Ductile Iron  Water Main Installation on San Bruno Ave. from Campbell Ave. to Paul Ave. and on Blanken Ave. from Bayshore Blvd. to Executive Park Blvd.","07/18/2025","ACTIVE","20295000","0","07/21/2025","02/28/2027",,"(800) 850-1874","Don Doan","true","6012253.84613","2088527.95449","37.7153903038","-122.39954775358",,"POINT (-122.39954775357657 37.715390303797825)","POINT (-122.399547754 37.715390304)","Visitacion Valley","10","2025/09/10 05:11:34 AM","2025/09/12 05:08:57 AM"
"25EXC-01889","ORDWAY ST","SAN BRUNO AVE","GIRARD ST","Excavation","Cratus, Inc.","(415)939-2840","WD-2876    8-Inch Ductile Iron Water Main Replacement and 16-Inch Ductile Iron  Water Main Installation on San Bruno Ave. from Campbell Ave. to Paul Ave. and on Blanken Ave. from Bayshore Blvd. to Executive Park Blvd.","07/18/2025","ACTIVE","9972000","94134","07/21/2025","02/28/2027",,"(800) 850-1874","Don Doan",,"6011821.59758","2090323.08654","37.72029527046","-122.40116787202",,"POINT (-122.40116787201558 37.72029527046113)","POINT (-122.401167872 37.72029527)","Portola","10","2025/09/10 05:11:34 AM","2025/09/12 05:08:57 AM"
"25EXC-01889","WOOLSEY ST","SAN BRUNO AVE","GIRARD ST","Excavation","Cratus, Inc.","(415)939-2840","WD-2876    8-Inch Ductile Iron Water Main Replacement and 16-Inch Ductile Iron  Water Main Installation on San Bruno Ave. from Campbell Ave. to Paul Ave. and on Blanken Ave. from Bayshore Blvd. to Executive Park Blvd.","07/18/2025","ACTIVE","13723000","94134","07/21/2025","02/28/2027",,"(800) 850-1874","Don Doan",,"6011298.29671","2092085.51777","37.72510533681","-122.40310066567",,"POINT (-122.40310066566761 37.72510533680598)","POINT (-122.403100666 37.725105337)","Portola","9","2025/09/10 05:11:34 AM","2025/09/12 05:08:57 AM"
"25EXC-04242","LAPHAM WAY","ROBINSON DR","ROBINSON DR","Excavation","Pacific Gas & Electric","530-204-7987","93 Lapham Way","10/29/2025","APPROVED","8113000","94112","11/10/2025","12/09/2025",,"800-pge-5000","Jeffrey Ramirez",,"6003785.118","2086506.439","37.70936398346","-122.42867540937",,"POINT (-122.42867540937402 37.70936398345575)","POINT (-122.428675409 37.709363983)","Excelsior","11","2025/10/30 04:28:12 AM","2025/10/30 05:19:17 AM"
"25EXC-04265","14TH AVE","CALIFORNIA ST","CLEMENT ST","Excavation","Pacific Gas & Electric","5102920681","47104114 - 207-209 14TH AVE - HY4 -gas","08/27/2025","ACTIVE","554000","94118","10/01/2025","11/27/2025",,"800-pge-5000","Gabriel Howell",,"5991519.73343","2113757.92035","37.78348771373","-122.47305214178",,"POINT (-122.47305214177568 37.78348771372761)","POINT (-122.473052142 37.783487714)","Outer Richmond","1","2025/09/30 04:15:17 AM","2025/10/01 05:21:39 AM"
"25EXC-04230","AMHERST ST","BACON ST","WAYLAND ST","Excavation","CableCom","650-520-7091","1303 Bacon St.","09/24/2025","ACTIVE","2265000","94134","10/01/2025","10/29/2025","1303 BACON ST","3604543025","Don Doan",,"6007687.94765","2091897.30077","37.72438625282","-122.41556797767",,"POINT (-122.41556797767348 37.72438625281633)","POINT (-122.415567978 37.724386253)","Portola","9","2025/10/07 04:16:54 AM","2025/10/08 05:18:10 AM"
"25EXC-01889","BLANKEN AVE","WHEELER AVE","PENINSULA AVE","Excavation","Cratus, Inc.","(415)939-2840","WD-2876    8-Inch Ductile Iron Water Main Replacement and 16-Inch Ductile Iron  Water Main Installation on San Bruno Ave. from Campbell Ave. to Paul Ave. and on Blanken Ave. from Bayshore Blvd. to Executive Park Blvd.","07/18/2025","ACTIVE","2988000","94134","07/21/2025","02/28/2027",,"(800) 850-1874","Don Doan",,"6012241.56871","2087188.47354","37.71171167174","-122.39949620459",,"POINT (-122.39949620459221 37.71171167174087)","POINT (-122.399496205 37.711711672)","Bayview Hunters Point","10","2025/09/10 05:11:34 AM","2025/09/12 05:08:57 AM"
"24EXC-00833","CROWN TER","PEMBERTON PL","CROWN CT \ RACCOON DR","Excavation","Pacific Gas & Electric","415-695-3500","R3 G 50A DR214 CLARENDON & STANYAN DEACT","10/08/2025","APPROVED","4541000","94114","11/03/2025","05/22/2026",,"800-pge-5000","Kevin Johnson Jr.",,"5998829.43","2104169.544","37.75758098188","-122.44707327889",,"POINT (-122.44707327889134 37.757580981876565)","POINT (-122.447073279 37.757580982)","Castro/Upper Market","8","2025/10/09 04:15:51 AM","2025/10/10 05:16:34 AM"
"25EXC-03925","GRACE ST","MISSION ST",,"Excavation","Precision Engineering, Inc.","(415) 621-4882","West Soma, Panhandle and Inner Sunset Sewer Improvements","08/28/2025","APPROVED","24309000","0","09/21/2025","12/03/2026",,"(415) 760-8744",,,"6008093.72385","2110543.47126","37.77560724353","-122.41548475012",,"POINT (-122.4154847501183 37.77560724352598)","POINT (-122.41548475 37.775607244)","South of Market","6","2025/08/29 04:10:18 AM","2025/08/30 05:12:19 AM"
"25EXC-04293","SANCHEZ ST","ALVARADO ST","23RD ST","Excavation","Pacific Gas & Electric","415-238-1286","EP 926 SANCHEZ ST SAN FRANCISCO","09/22/2025","APPROVED","11526000","94114","11/11/2025","12/09/2025",,"800-pge-5000","Kevin Johnson Jr.",,"6003778.34304","2102601.73967","37.75355765911","-122.42984610792",,"POINT (-122.42984610792321 37.75355765910706)","POINT (-122.429846108 37.753557659)","Noe Valley","8","2025/09/23 04:15:15 AM","2025/09/24 05:18:14 AM"
"25EXC-04291","MOSCOW ST","PERSIA AVE","RUSSIA AVE","Excavation","Pacific Gas & Electric","4155243102","35646814 - 591 MOSCOW ST","08/28/2025","APPROVED","9401000","94112","10/07/2025","11/04/2025",,"800-pge-5000","Jeffrey Ramirez",,"6003649.86611","2089992.96705","37.71892956277","-122.42939132481",,"POINT (-122.4293913248086 37.718929562766256)","POINT (-122.429391325 37.718929563)","Excelsior","11","2025/08/29 04:10:18 AM","2025/08/30 05:12:19 AM"
"25EXC-03925","08TH ST","BRYANT ST","BRANNAN ST","Excavation","Precision Engineering, Inc.","(415) 621-4882","West Soma, Panhandle and Inner Sunset Sewer Improvements","08/28/2025","APPROVED","416000","94103","09/21/2025","12/03/2026",,"(415) 760-8744",,,"6010750.23431","2109143.17091","37.77191130044","-122.40619650589",,"POINT (-122.40619650589493 37.771911300437054)","POINT (-122.406196506 37.7719113)","South of Market","6","2025/08/29 04:10:18 AM","2025/08/30 05:12:19 AM"
"25EXC-03925","HARRISON ST","BERWICK PL","08TH ST","Excavation","Precision Engineering, Inc.","(415) 621-4882","West Soma, Panhandle and Inner Sunset Sewer Improvements","08/28/2025","APPROVED","6731000","94103","09/21/2025","12/03/2026",,"(415) 760-8744",,,"6010203.92654","2109935.17948","37.77405539944","-122.4081420997",,"POINT (-122.40814209970193 37.77405539944263)","POINT (-122.4081421 37.774055399)","South of Market","6","2025/08/29 04:10:18 AM","2025/08/30 05:12:19 AM"
"25EXC-04247","LEAVENWORTH ST","OFARRELL ST","GEARY ST","Excavation","Pacific Gas & Electric","5102920681","47261291 - 550 LEAVENWORTH ST - gas - FII","08/28/2025","ACTIVE","8243000","94109","10/01/2025","11/27/2025",,"800-pge-5000","Alastair Johns",,"6008394.83687","2114340.95088","37.78605113341","-122.41471192722",,"POINT (-122.41471192721741 37.78605113341247)","POINT (-122.414711927 37.786051133)","Tenderloin","5","2025/09/29 04:37:27 AM","2025/09/30 05:26:00 AM"
"25EXC-03925","MINNA ST","08TH ST","09TH ST","Excavation","Precision Engineering, Inc.","(415) 621-4882","West Soma, Panhandle and Inner Sunset Sewer Improvements","08/28/2025","APPROVED","9049000","94103","09/21/2025","12/03/2026",,"(415) 760-8744",,,"6008703.59393","2110824.6456","37.77641354226","-122.41339494241",,"POINT (-122.41339494241207 37.776413542256314)","POINT (-122.413394942 37.776413542)","South of Market","6","2025/08/29 04:10:18 AM","2025/08/30 05:12:19 AM"
"25EXC-03925","08TH ST","I-80 W OFF RAMP",,"Excavation","Precision Engineering, Inc.","(415) 621-4882","West Soma, Panhandle and Inner Sunset Sewer Improvements","08/28/2025","APPROVED","50080000","0","09/21/2025","12/03/2026",,"(415) 760-8744",,,"6010118.24477","2109803.95497","37.7736902896","-122.40842923104",,"POINT (-122.40842923103668 37.77369028959548)","POINT (-122.408429231 37.77369029)","South of Market","6","2025/08/29 04:10:18 AM","2025/08/30 05:12:19 AM"
"25EXC-03925","MISSION ST","LASKIE ST","09TH ST","Excavation","Precision Engineering, Inc.","(415) 621-4882","West Soma, Panhandle and Inner Sunset Sewer Improvements","08/28/2025","APPROVED","9104000","94103","09/21/2025","12/03/2026",,"(415) 760-8744",,,"6008411.00436","2110850.86076","37.77646909068","-122.41440895085",,"POINT (-122.41440895085302 37.77646909068098)","POINT (-122.414408951 37.776469091)","South of Market","6","2025/08/29 04:10:18 AM","2025/08/30 05:12:19 AM"
"25S-00076","WALLER ST","FILLMORE ST","STEINER ST","SideSewer","S F Underground","415-216-3241","Sewer lateral service line replacement with main line connection and pavement restoration in kind.","10/07/2025","ACTIVE","13362000","94117","10/13/2025","11/07/2025","446 WALLER ST","(415)216-3241","O'Brian Buchanan",,"6003561.80662","2109036.16545","37.77121278125","-122.43105414787","PW20250806147","POINT (-122.4310541478662 37.77121278125206)","POINT (-122.431054148 37.771212781)","Hayes Valley","5","2025/10/09 04:15:51 AM","2025/10/10 05:16:34 AM"
"25EXC-03925","LASKIE ST","MISSION ST","END: 1-99 BLOCK","Excavation","Precision Engineering, Inc.","(415) 621-4882","West Soma, Panhandle and Inner Sunset Sewer Improvements","08/28/2025","APPROVED","8158000","94103","09/21/2025","12/03/2026",,"(415) 760-8744",,,"6008394.00999","2111046.85827","37.77700629862","-122.41448161154",,"POINT (-122.41448161154212 37.77700629862346)","POINT (-122.414481612 37.777006299)","South of Market","6","2025/08/29 04:10:18 AM","2025/08/30 05:12:19 AM"
"25EXC-04289","WEBSTER ST","PINE ST","CALIFORNIA ST","Excavation","Pacific Gas & Electric","415-238-1286","EP 2295 CALIFORNIA ST SAN FRANCISCO","10/14/2025","APPROVED","13544000","94115","11/13/2025","12/11/2025",,"800-pge-5000","Kevin Johnson Jr.",,"6003390.55846","2115385.63638","37.78863713936","-122.43210000193",,"POINT (-122.43210000192525 37.78863713936451)","POINT (-122.432100002 37.788637139)","Pacific Heights","2","2025/10/15 04:48:00 AM","2025/10/16 05:14:29 AM"
"25EXC-03925","MISSION ST","10TH ST","11TH ST","Excavation","Precision Engineering, Inc.","(415) 621-4882","West Soma, Panhandle and Inner Sunset Sewer Improvements","08/28/2025","APPROVED","9108000","94103","09/21/2025","12/03/2026",,"(415) 760-8744",,,"6007792.54951","2110255.15465","37.77479866172","-122.41650616112",,"POINT (-122.4165061611209 37.77479866172152)","POINT (-122.416506161 37.774798662)","South of Market","6","2025/08/29 04:10:18 AM","2025/08/30 05:12:19 AM"
"25EXC-03925","09TH ST","NATOMA ST",,"Excavation","Precision Engineering, Inc.","(415) 621-4882","West Soma, Panhandle and Inner Sunset Sewer Improvements","08/28/2025","APPROVED","24306000","0","09/21/2025","12/03/2026",,"(415) 760-8744",,,"6008602.92941","2110471.03854","37.77543696837","-122.41371815318",,"POINT (-122.41371815318071 37.775436968370464)","POINT (-122.413718153 37.775436968)","South of Market","6","2025/08/29 04:10:18 AM","2025/08/30 05:12:19 AM"
"25EXC-03925","JUDAH ST","07TH AVE","08TH AVE","Excavation","Precision Engineering, Inc.","(415) 621-4882","West Soma, Panhandle and Inner Sunset Sewer Improvements","08/28/2025","APPROVED","7642000","94122","09/21/2025","12/03/2026",,"(415) 760-8744",,,"5993805.63545","2105973.30338","37.76224530855","-122.46457842984",,"POINT (-122.4645784298413 37.762245308552615)","POINT (-122.46457843 37.762245309)","Inner Sunset","7","2025/08/29 04:10:18 AM","2025/08/30 05:12:19 AM"
"24EXC-01161","FRANCISCO ST","FRANKLIN ST",,"Excavation","Pacific Gas & Electric","5102920681","201 Fort Mason","09/25/2025","ACTIVE","26724000","0","09/29/2025","11/27/2025",,"800-pge-5000","Alastair Johns","true","6005097.24129","2120580.67808","37.80299801663","-122.42656520093",,"POINT (-122.42656520093288 37.80299801662562)","POINT (-122.426565201 37.802998017)","Marina","2","2025/09/30 04:15:17 AM","2025/10/01 05:21:39 AM"
"25CN-00056","LAKEVIEW AVE","FAXON AVE","JULES AVE","conformity","Erik Chan","925-787-8716",,"05/20/2025","ACTIVE","8072000","94112",,,"750 LAKEVIEW AVE","925-787-8716","Mario Novoa",,"5994534.84633","2089955.22297","37.71830565528","-122.46089541013",,"POINT (-122.4608954101313 37.718305655277625)","POINT (-122.46089541 37.718305655)","Oceanview/Merced/Ingleside","11","2025/09/01 03:44:26 AM","2025/09/02 05:14:11 AM"
"25EXC-04304","BRUSSELS ST","WOOLSEY ST","DWIGHT ST","Excavation","Pacific Gas & Electric","5102920681","577 40th Ave PM 47124903","08/29/2025","ACTIVE","3267000","94134","09/15/2025","11/11/2025",,"800-pge-5000","Don Doan",,"6010933.345","2091732.885","37.72411670716","-122.40433746383",,"POINT (-122.40433746382553 37.72411670715507)","POINT (-122.404337464 37.724116707)","Portola","9","2025/09/16 04:59:25 AM","2025/09/18 05:16:01 AM"
